ercot_name,canonical_name,occurrences,suggested_substation,suggested_confidence,suggested_method
KIOWA_5,KIOWA 5,1,Kiowa 2 Sub,0.543,hybrid_fuzzy
AMD_SA_B,AMD SAN,1,Amd Substation,0.54,hybrid_fuzzy
LA_PALMA_2,LA PALMA 2,1,La Palma 69 Kv Substation,0.54,hybrid_fuzzy
FIVE_PTS_A,FIVE PTS,1,Five Points Substation,0.537,hybrid_fuzzy
FIVE_PTS_B,FIVE PTS,1,Five Points Substation,0.537,hybrid_fuzzy
FIVE_PTS_C,FIVE PTS,1,Five Points Substation,0.537,hybrid_fuzzy
FIVE_PTS_D,FIVE PTS,1,Five Points Substation,0.537,hybrid_fuzzy
FIVE_PTS_E,FIVE PTS,1,Five Points Substation,0.537,hybrid_fuzzy
FIVE_PTS_F,FIVE PTS,1,Five Points Substation,0.537,hybrid_fuzzy
HARLIN_1_L_A,HARLIN 1,1,Harlingen #1 Substation,0.537,hybrid_fuzzy
HARLIN_1_L_B,HARLIN 1,1,Harlingen #1 Substation,0.537,hybrid_fuzzy
HARLIN_1_RN,HARLIN 1,1,Harlingen #1 Substation,0.537,hybrid_fuzzy
HARLIN_1_V_A,HARLIN 1,1,Harlingen #1 Substation,0.537,hybrid_fuzzy
MUSTANG_8,MUSTANG 8,1,Mustang Ca Substation,0.537,hybrid_fuzzy
PECAN_BY_K,PECAN BY,1,Pecan Bayou Substation,0.537,hybrid_fuzzy
PRICE_RDY,PRICE RDY,1,Price Road Substation,0.537,hybrid_fuzzy
PRICE_RDZ,PRICE RDZ,1,Price Road Substation,0.537,hybrid_fuzzy
PC_SOUTH_2,PC SOUTH 2,1,South Plains Wind 2 Substation,0.533,hybrid_fuzzy
LONE_STR_L_A,LONE STR,1,Lone Tree Substation,0.529,hybrid_fuzzy
LN_N_SHARPE,LN SHARPE,1,Nelson Sharpe Substation,0.527,hybrid_fuzzy
ALAMO_CM_A,ALAMO CM,1,Alamo Cement Substation,0.52,hybrid_fuzzy
ALAMO_CM_C,ALAMO CM,1,Alamo Cement Substation,0.52,hybrid_fuzzy
CAGNON_AA,CAGNON AA,1,Cagnon Road Substation,0.52,hybrid_fuzzy
CAGNON_DD,CAGNON DD,1,Cagnon Road Substation,0.52,hybrid_fuzzy
KIOWA_5Y,KIOWA 5Y,1,Kiowa 2 Sub,0.52,hybrid_fuzzy
KIOWA_5Z,KIOWA 5Z,1,Kiowa 2 Sub,0.52,hybrid_fuzzy
KOENIG_EB,KOENIG EB,1,Koenig Lane Substation,0.52,hybrid_fuzzy
MCCOY_1,MCCOY 1,1,Mccook 1 Substation,0.52,hybrid_fuzzy
BRISCOE_LFL,BRISCOE LFL,1,Briscoe Wind Farm Substation,0.513,hybrid_fuzzy
DUKE_CC1,DUKE,1,Notrees Substation,0.513,hybrid_fuzzy
